Autodrive, Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.088593,-0.045669,0.000000,0.045669,12.467759,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.129333,-0.066671,0.000000,0.066671,18.201296,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.088593,-0.045669,0.000000,0.045669,12.467759,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.373779,-0.192683,0.000000,0.192683,52.602524,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.373779,-0.192683,0.000000,0.192683,52.602524,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.373779,-0.192683,0.000000,0.192683,52.602524,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.373779,-0.192683,0.000000,0.192683,52.602524,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.373779,-0.192683,0.000000,0.192683,52.602524,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
