X, Y, PathError, Steering, Velocity, Kp, Kd, Kdh, Ki
7.560000,0.660000,1.340597,-17.029860,18.000000,-0.268000,-0.000000,-0.019407,-0.009820
7.800000,0.650000,1.350000,-16.757853,18.000000,-0.270000,-0.000000,-0.009960,-0.012520
8.040000,0.680000,1.320606,-15.484906,18.000000,-0.264000,-0.000000,0.008897,-0.015160
8.250000,0.750000,1.251000,-13.365861,18.000000,-0.250000,-0.000000,0.034382,-0.017660
8.500000,0.760000,1.240000,-14.506648,18.000000,-0.248000,-0.000000,0.014951,-0.020140
8.780000,0.790000,1.210165,-14.272624,18.000000,-0.242000,-0.000000,0.015456,-0.022560
9.070000,0.810000,1.190378,-14.470170,18.000000,-0.238000,-0.000000,0.010388,-0.024940
9.350000,0.840000,1.161077,-14.056110,18.000000,-0.232000,-0.000000,0.013935,-0.027260
9.570000,0.890000,1.110405,-12.942612,18.000000,-0.222000,-0.000000,0.025589,-0.029480
9.790000,0.950000,1.050048,-11.852804,18.000000,-0.210000,-0.000000,0.034710,-0.031580
