AutoDrive,s: Angle,Error,S,m: S,F,R,FS1,Seat,Pow
>>>>>>>>>>>>>>>>>>>>>>> Saved Origin x=0 , y=0:  gps_p_goN = -285302245, gps_p_goE = 283197864
>>>>>>>>>>>>>>>>>>>>>>> Saved Directional x=something , y=0:  gps_p_gyN = -285304347, gps_p_gyE = 283195992
Created Path successfully
0,-11.000000,0.446482,121.889503,0.000000,1,0,1,1,1
0,-10.000000,0.459311,125.391777,0.000000,1,0,1,1,1
0,-10.000000,0.165267,45.117889,0.000000,1,0,1,1,1
0,-10.000000,0.207272,56.585140,0.000000,1,0,1,1,1
0,-9.000000,0.451138,123.160553,0.000000,1,0,1,1,1
0,-9.000000,0.199099,54.353912,0.000000,1,0,1,1,1
0,-8.000000,0.400960,109.462074,0.000000,1,0,1,1,1
0,-7.000000,0.518815,141.636505,0.000000,1,0,1,1,1
0,-7.000000,0.203770,55.629124,0.000000,1,0,1,1,1
0,-7.000000,0.140748,38.424210,0.000000,1,0,1,1,1
0,-7.000000,0.203770,55.629124,0.000000,1,0,1,1,1
0,-6.000000,0.447636,122.204529,0.000000,1,0,1,1,1
0,-5.000000,0.481467,131.440430,0.000000,1,0,1,1,1
0,-5.000000,0.145419,39.699421,0.000000,1,0,1,1,1
0,-4.000000,0.494311,134.946991,0.000000,1,0,1,1,1
0,-4.000000,0.116244,31.734699,0.000000,1,0,1,1,1
0,-4.000000,0.158248,43.201691,0.000000,1,0,1,1,1
0,-3.000000,0.570146,155.649811,0.000000,1,0,1,1,1
0,-3.000000,0.171077,46.704025,0.000000,1,0,1,1,1
0,-3.000000,0.171077,46.704025,0.000000,1,0,1,1,1
0,-3.000000,0.150075,40.970463,0.000000,1,0,1,1,1
0,-3.000000,0.213097,58.175377,0.000000,1,0,1,1,1
0,-2.000000,0.435961,119.017357,0.000000,1,0,1,1,1
0,-2.000000,0.225925,61.677647,0.000000,1,0,1,1,1
0,-2.000000,0.246927,67.411209,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.246927,67.411209,0.000000,1,0,1,1,1
0,-2.000000,0.162920,44.477028,0.000000,1,0,1,1,1
0,-2.000000,0.183922,50.210590,0.000000,1,0,1,1,1
0,-2.000000,0.204923,55.944084,0.000000,1,0,1,1,1
